Directory Name,Approach the following question the way someone with a PhD in mathematics would.json,Approach the following question the way someone with a PhD in physics would.json,Approach the following question the way someone with a PhD in engineering would.json,Approach the following question the way someone with a PhD in computer science would.json,Approach the following question the way someone with a PhD in biology would.json,Approach the following question the way someone with a PhD in literature would.json,Approach the following question the way someone with a PhD in philosophy would.json
273,no,no,no,no,yes,no,yes
274,no,no,yes,no,no,no,no
275,no,no,no,yes,no,yes,yes
276,yes,no,yes,yes,yes,yes,yes
277,yes,yes,yes,yes,no,no,no
278,yes,no,no,yes,no,no,no
279,yes,yes,yes,yes,yes,yes,no
280,no,yes,yes,yes,yes,yes,yes
281,no,no,no,yes,no,no,no
282,no,yes,no,no,no,no,no
283,no,no,no,no,no,no,yes
284,no,yes,yes,yes,yes,no,yes
285,yes,yes,yes,yes,no,yes,yes
286,yes,no,yes,yes,yes,yes,no
287,yes,no,yes,yes,yes,yes,yes
288,no,no,yes,yes,yes,yes,no
289,no,yes,yes,no,yes,no,yes
290,N/A,no,no,no,no,yes,no
291,no,yes,yes,no,no,no,yes
292,yes,yes,no,yes,yes,yes,yes
293,yes,yes,yes,no,no,yes,no
294,no,yes,yes,yes,yes,no,yes
295,yes,yes,yes,no,yes,yes,no
296,yes,yes,no,yes,no,yes,yes
297,yes,yes,yes,yes,yes,yes,no
298,yes,yes,no,yes,yes,yes,no
299,no,yes,yes,yes,no,no,yes
300,yes,yes,yes,yes,yes,yes,yes
301,yes,yes,yes,yes,no,yes,yes
302,yes,yes,yes,yes,yes,yes,yes
303,no,no,yes,no,no,no,no
304,no,yes,yes,yes,yes,yes,yes
305,no,no,no,no,no,no,no
306,yes,yes,yes,yes,yes,yes,yes
307,no,no,no,no,yes,no,yes
308,no,yes,yes,yes,yes,no,no
309,no,yes,yes,yes,yes,yes,no
310,yes,no,no,yes,no,no,no
