Directory Name,Approach the following question the way someone with a PhD in mathematics would.json,Approach the following question the way someone with a PhD in physics would.json,Approach the following question the way someone with a PhD in engineering would.json,Approach the following question the way someone with a PhD in computer science would.json,Approach the following question the way someone with a PhD in biology would.json,Approach the following question the way someone with a PhD in literature would.json,Approach the following question the way someone with a PhD in philosophy would.json
152,yes,no,yes,yes,yes,yes,no
153,no,yes,no,no,no,yes,yes
154,yes,yes,N/A,yes,yes,yes,yes
155,no,yes,yes,yes,no,no,no
156,yes,yes,no,yes,yes,yes,yes
157,yes,yes,no,no,no,yes,no
158,yes,yes,no,yes,no,yes,yes
159,no,no,yes,no,no,yes,yes
160,no,yes,yes,no,no,yes,no
161,no,yes,no,no,no,no,no
162,yes,no,no,yes,no,no,yes
163,no,no,no,no,no,no,yes
164,no,no,no,yes,yes,no,no
165,no,no,no,no,yes,no,no
166,yes,no,no,no,no,no,no
167,no,yes,no,yes,no,no,no
168,no,no,no,no,yes,yes,no
169,no,no,no,yes,yes,no,no
170,no,yes,no,no,no,no,no
171,no,no,no,no,yes,yes,no
172,yes,yes,no,yes,no,no,no
173,no,no,yes,no,yes,yes,yes
174,yes,no,no,no,yes,yes,no
175,no,no,no,no,no,no,no
176,no,no,no,no,no,yes,no
177,no,yes,no,no,no,no,no
178,no,no,no,no,no,yes,no
179,no,no,no,no,no,no,yes
180,no,no,yes,no,no,no,no
181,no,no,no,no,no,no,no
182,no,yes,no,no,no,yes,no
183,yes,no,no,no,no,no,no
184,no,no,no,no,no,no,no
185,no,yes,no,yes,yes,no,no
186,no,no,no,yes,no,no,no
187,no,no,yes,no,no,no,no
188,no,no,no,no,no,yes,no
189,no,no,no,yes,no,no,no
190,no,no,no,no,no,no,yes
191,no,yes,yes,no,no,no,no
192,no,no,yes,no,no,no,yes
193,no,no,no,no,no,no,no
194,no,no,no,no,no,no,no
195,no,no,no,no,no,no,no
196,no,yes,yes,no,no,no,no
197,yes,no,no,no,yes,no,no
198,no,no,no,no,no,yes,no
199,no,no,no,no,no,yes,yes
200,yes,no,no,no,no,no,no
201,yes,yes,no,yes,yes,yes,yes
202,no,yes,yes,no,no,no,yes
203,yes,yes,yes,yes,yes,yes,yes
204,yes,yes,yes,no,yes,no,no
205,no,yes,yes,yes,yes,yes,yes
206,yes,yes,yes,yes,yes,yes,yes
207,yes,yes,no,no,yes,yes,yes
208,no,yes,yes,yes,yes,yes,yes
209,yes,yes,yes,yes,yes,yes,yes
210,yes,no,yes,yes,yes,no,yes
211,yes,yes,yes,no,yes,yes,yes
212,no,no,yes,no,yes,no,yes
213,yes,yes,yes,yes,yes,yes,no
214,yes,yes,yes,yes,no,yes,yes
215,yes,yes,yes,no,yes,yes,yes
216,yes,yes,yes,yes,yes,no,yes
217,no,yes,yes,yes,yes,yes,no
218,yes,no,no,yes,yes,yes,no
219,yes,yes,yes,yes,yes,yes,yes
220,yes,yes,yes,yes,yes,yes,yes
221,no,no,yes,no,no,yes,yes
222,no,no,no,no,no,yes,yes
223,no,no,yes,yes,no,no,yes
224,yes,no,no,yes,yes,no,yes
225,no,no,yes,no,yes,yes,yes
226,no,yes,no,no,yes,no,yes
227,yes,no,no,yes,yes,yes,yes
228,yes,yes,yes,yes,no,yes,no
229,yes,yes,yes,yes,yes,yes,yes
230,no,no,yes,yes,no,no,yes
231,yes,no,yes,yes,yes,no,yes
232,no,no,yes,no,no,no,no
233,yes,no,no,no,yes,no,no
234,yes,no,yes,yes,no,no,no
235,no,no,no,no,no,no,no
236,no,no,no,no,no,no,yes
237,yes,no,no,no,yes,no,no
238,yes,no,no,yes,no,no,yes
239,no,no,yes,no,no,no,no
240,no,no,no,yes,yes,no,no
241,yes,no,no,no,yes,no,no
242,no,no,no,no,no,no,no
243,no,no,no,yes,no,yes,yes
244,no,no,yes,no,no,no,yes
245,no,no,no,no,no,no,yes
246,no,no,no,yes,no,no,no
247,no,no,no,no,no,yes,yes
248,no,no,no,no,yes,no,yes
249,no,no,no,no,no,no,no
250,no,no,yes,no,no,no,no
251,no,no,yes,no,no,N/A,N/A
