Directory Name,Approach the following multiple choice question the way a physician would.json,Approach the following multiple choice question the way a medical researcher would.json,Approach the following multiple choice question the way a doctor would.json,Solve the following multiple choice question.json
248,N/A,N/A,N/A,N/A
249,N/A,N/A,N/A,N/A
250,N/A,N/A,N/A,N/A
251,no,no,no,no
252,N/A,N/A,N/A,N/A
253,yes,yes,yes,no
254,yes,yes,yes,yes
255,N/A,N/A,N/A,N/A
256,yes,yes,yes,no
257,yes,yes,yes,yes
258,no,yes,yes,yes
259,no,yes,no,yes
260,no,yes,no,no
261,yes,yes,yes,no
262,yes,yes,yes,yes
263,N/A,N/A,N/A,N/A
264,yes,yes,no,yes
265,no,no,no,no
266,yes,yes,yes,no
267,yes,yes,yes,yes
268,N/A,N/A,N/A,N/A
269,N/A,N/A,N/A,N/A
270,no,yes,yes,yes
271,yes,no,no,yes
272,N/A,N/A,N/A,N/A
273,yes,yes,yes,no
274,no,no,N/A,no
275,N/A,N/A,N/A,N/A
276,no,yes,yes,no
277,yes,yes,yes,no
278,no,yes,no,no
279,N/A,N/A,N/A,N/A
280,yes,yes,yes,yes
281,no,yes,yes,no
282,N/A,N/A,N/A,N/A
283,N/A,N/A,N/A,N/A
284,no,yes,no,no
285,N/A,N/A,N/A,N/A
286,yes,yes,yes,yes
287,N/A,N/A,N/A,N/A
288,yes,yes,yes,no
289,no,yes,yes,no
290,yes,yes,yes,yes
291,N/A,N/A,N/A,N/A
292,N/A,N/A,N/A,N/A
293,N/A,N/A,N/A,N/A
294,N/A,N/A,N/A,N/A
295,yes,yes,no,yes
296,N/A,N/A,N/A,N/A
297,yes,yes,yes,yes
298,yes,yes,no,no
299,yes,yes,no,no
300,yes,yes,yes,no
301,N/A,N/A,N/A,N/A
302,N/A,N/A,N/A,N/A
303,no,no,no,yes
304,no,yes,yes,no
305,yes,yes,yes,no
306,yes,yes,no,no
307,no,no,no,yes
308,N/A,N/A,N/A,N/A
309,N/A,N/A,N/A,N/A
310,N/A,N/A,N/A,N/A
311,N/A,N/A,N/A,N/A
312,yes,yes,yes,yes
313,yes,yes,yes,yes
314,N/A,N/A,N/A,N/A
315,N/A,N/A,N/A,N/A
316,no,yes,yes,yes
317,N/A,N/A,N/A,N/A
318,N/A,N/A,N/A,N/A
319,yes,yes,yes,no
320,no,no,yes,no
321,N/A,N/A,N/A,N/A
322,no,no,yes,no
323,N/A,N/A,N/A,N/A
324,no,yes,no,no
325,yes,yes,yes,no
326,yes,yes,no,no
327,yes,yes,yes,no
328,yes,yes,yes,yes
329,yes,yes,yes,yes
330,N/A,N/A,N/A,N/A
331,N/A,N/A,N/A,N/A
332,yes,yes,yes,yes
333,yes,yes,no,no
334,no,yes,no,yes
335,yes,yes,yes,yes
336,yes,no,yes,no
337,yes,yes,yes,yes
338,yes,yes,yes,yes
339,N/A,N/A,N/A,N/A
340,N/A,N/A,N/A,N/A
341,yes,no,yes,yes
342,N/A,N/A,N/A,N/A
343,yes,yes,no,no
344,N/A,N/A,N/A,N/A
345,yes,no,no,no
346,yes,yes,yes,no
347,N/A,N/A,N/A,N/A
348,N/A,N/A,N/A,N/A
349,yes,yes,yes,yes
350,yes,yes,yes,yes
351,yes,yes,yes,no
352,yes,yes,yes,no
353,yes,no,yes,no
354,N/A,N/A,N/A,N/A
355,no,no,no,yes
356,yes,yes,yes,no
357,N/A,N/A,N/A,N/A
358,yes,yes,no,no
359,yes,yes,yes,no
360,yes,yes,no,no
361,yes,no,no,no
362,N/A,N/A,N/A,N/A
363,no,yes,yes,yes
364,N/A,N/A,N/A,N/A
365,yes,yes,yes,no
366,N/A,N/A,N/A,N/A
367,N/A,N/A,N/A,N/A
368,N/A,N/A,N/A,N/A
369,yes,yes,yes,no
370,yes,no,no,no
371,yes,yes,yes,yes
372,yes,yes,yes,yes
373,yes,yes,yes,no
374,N/A,N/A,N/A,N/A
375,no,yes,yes,no
376,yes,no,yes,yes
377,yes,yes,no,yes
378,yes,yes,yes,yes
379,yes,no,yes,no
380,no,yes,yes,yes
381,yes,yes,yes,yes
382,yes,yes,yes,no
383,N/A,N/A,N/A,N/A
384,yes,no,yes,no
385,N/A,N/A,N/A,N/A
386,N/A,N/A,N/A,N/A
387,N/A,N/A,N/A,N/A
388,N/A,N/A,N/A,N/A
389,yes,yes,yes,no
390,yes,no,no,no
391,no,yes,yes,no
392,yes,yes,yes,no
393,no,yes,no,no
394,yes,no,no,yes
395,yes,yes,yes,no
396,yes,yes,yes,yes
397,yes,yes,yes,yes
398,no,no,no,no
399,no,yes,yes,yes
400,yes,yes,yes,yes
401,N/A,N/A,N/A,N/A
402,yes,no,yes,no
403,no,yes,yes,no
404,N/A,N/A,N/A,N/A
405,N/A,N/A,N/A,N/A
406,yes,yes,yes,no
407,yes,no,no,no
408,N/A,N/A,N/A,N/A
409,N/A,N/A,N/A,N/A
410,N/A,N/A,N/A,N/A
411,N/A,N/A,N/A,N/A
412,yes,yes,yes,yes
413,yes,no,yes,no
414,yes,yes,yes,yes
415,yes,yes,yes,yes
416,yes,yes,yes,no
417,yes,no,yes,no
418,N/A,N/A,N/A,N/A
419,no,yes,no,no
420,N/A,N/A,N/A,N/A
421,N/A,N/A,N/A,N/A
422,yes,yes,yes,yes
423,N/A,N/A,N/A,N/A
424,yes,yes,yes,yes
425,yes,yes,no,no
426,N/A,N/A,N/A,N/A
427,N/A,N/A,N/A,N/A
428,no,yes,yes,no
429,no,yes,no,no
430,no,yes,yes,yes
431,no,yes,no,no
432,yes,no,yes,yes
433,N/A,N/A,N/A,N/A
434,no,yes,yes,yes
435,yes,no,yes,no
436,yes,yes,yes,yes
437,yes,no,yes,yes
438,N/A,N/A,N/A,N/A
439,N/A,N/A,N/A,N/A
440,no,no,no,no
441,N/A,N/A,N/A,N/A
442,yes,yes,yes,no
443,N/A,N/A,N/A,N/A
444,yes,yes,yes,yes
445,yes,no,yes,no
446,yes,yes,yes,yes
447,no,yes,yes,yes
448,yes,yes,yes,no
449,yes,yes,yes,no
450,yes,no,yes,yes
451,N/A,N/A,N/A,N/A
452,yes,yes,yes,yes
453,yes,yes,yes,no
454,N/A,N/A,N/A,N/A
455,yes,yes,no,no
456,no,yes,no,no
457,N/A,N/A,N/A,N/A
458,N/A,N/A,N/A,N/A
459,yes,yes,yes,yes
460,yes,yes,yes,yes
461,yes,yes,yes,yes
462,no,yes,no,no
463,N/A,N/A,N/A,N/A
464,no,yes,yes,yes
465,no,no,yes,no
466,yes,yes,no,no
467,yes,yes,yes,yes
468,yes,yes,yes,yes
469,no,no,no,no
470,yes,yes,yes,no
471,N/A,N/A,N/A,N/A
472,yes,yes,no,no
473,yes,yes,yes,no
474,no,no,no,no
475,N/A,N/A,N/A,N/A
476,no,no,no,no
477,yes,yes,yes,no
478,yes,yes,yes,yes
479,yes,yes,yes,no
480,N/A,N/A,N/A,N/A
481,N/A,N/A,N/A,N/A
482,yes,yes,yes,no
483,yes,yes,yes,yes
484,yes,yes,yes,no
485,no,yes,yes,yes
486,yes,yes,yes,yes
487,no,yes,yes,no
488,no,no,no,no
489,N/A,N/A,N/A,N/A
490,N/A,N/A,N/A,N/A
491,yes,yes,yes,yes
492,no,no,no,no
493,no,yes,no,no
494,yes,yes,yes,yes
495,yes,yes,yes,no
496,yes,yes,yes,yes
497,N/A,N/A,N/A,N/A
498,yes,yes,no,yes
499,N/A,N/A,N/A,N/A
500,yes,yes,no,no
501,no,yes,no,no
502,N/A,N/A,N/A,N/A
503,N/A,N/A,N/A,N/A
504,N/A,N/A,N/A,N/A
505,N/A,N/A,N/A,N/A
506,N/A,N/A,N/A,N/A
507,yes,no,yes,no
508,yes,yes,yes,no
509,N/A,N/A,N/A,N/A
510,no,yes,no,no
511,yes,yes,no,yes
512,yes,yes,yes,yes
513,yes,no,yes,no
514,no,yes,no,no
515,yes,yes,yes,yes
516,no,no,no,no
517,yes,yes,no,yes
518,yes,yes,yes,yes
519,N/A,N/A,N/A,N/A
520,N/A,N/A,N/A,N/A
521,N/A,N/A,N/A,N/A
522,yes,no,no,no
523,no,yes,yes,no
524,yes,yes,yes,yes
525,yes,yes,yes,yes
526,N/A,N/A,N/A,N/A
527,no,yes,no,no
528,N/A,N/A,N/A,N/A
529,yes,yes,yes,yes
530,no,no,no,no
531,N/A,N/A,N/A,N/A
532,N/A,N/A,N/A,N/A
533,N/A,N/A,N/A,N/A
534,yes,yes,yes,yes
535,yes,yes,yes,yes
536,yes,yes,yes,no
537,yes,yes,yes,yes
538,N/A,N/A,N/A,N/A
539,N/A,N/A,N/A,N/A
540,no,yes,no,no
541,N/A,N/A,N/A,N/A
542,yes,yes,yes,no
543,N/A,N/A,N/A,N/A
544,N/A,N/A,N/A,N/A
545,yes,yes,yes,yes
546,yes,yes,yes,no
547,N/A,N/A,N/A,N/A
548,yes,no,yes,yes
549,N/A,N/A,N/A,N/A
550,N/A,N/A,N/A,N/A
551,yes,yes,yes,yes
552,yes,yes,yes,yes
553,N/A,N/A,N/A,N/A
554,yes,yes,yes,no
555,no,no,yes,no
556,no,no,no,no
557,N/A,N/A,N/A,N/A
558,yes,yes,yes,yes
559,yes,no,no,no
560,no,no,yes,no
561,N/A,N/A,N/A,N/A
562,N/A,N/A,N/A,N/A
563,no,no,no,no
564,no,yes,yes,yes
565,yes,yes,yes,yes
566,N/A,N/A,N/A,N/A
567,N/A,N/A,N/A,N/A
568,no,yes,yes,no
569,yes,yes,yes,yes
570,yes,yes,yes,yes
571,yes,yes,yes,no
572,no,yes,yes,no
573,no,no,yes,no
574,N/A,N/A,N/A,N/A
575,yes,no,no,no
576,N/A,N/A,N/A,N/A
577,N/A,N/A,N/A,N/A
578,yes,no,no,no
579,yes,yes,yes,no
580,N/A,N/A,N/A,N/A
581,yes,yes,no,yes
582,yes,no,yes,no
583,N/A,N/A,N/A,N/A
584,yes,yes,yes,no
585,N/A,N/A,N/A,N/A
586,yes,yes,yes,yes
587,yes,yes,yes,yes
588,yes,yes,yes,no
589,N/A,N/A,N/A,N/A
590,yes,yes,yes,yes
591,N/A,N/A,N/A,N/A
592,yes,no,yes,no
593,yes,yes,yes,no
594,N/A,N/A,N/A,N/A
595,yes,yes,no,yes
596,yes,yes,yes,no
597,yes,no,no,no
598,yes,yes,yes,no
599,yes,yes,yes,no
600,no,yes,no,no
601,N/A,N/A,N/A,N/A
602,yes,yes,yes,yes
603,no,yes,no,no
604,yes,yes,yes,yes
605,N/A,N/A,N/A,N/A
606,N/A,N/A,N/A,N/A
607,N/A,N/A,N/A,N/A
608,yes,yes,no,no
609,N/A,N/A,N/A,N/A
610,yes,yes,yes,no
611,N/A,N/A,N/A,N/A
612,yes,yes,yes,no
613,N/A,N/A,N/A,N/A
614,yes,yes,yes,yes
615,N/A,N/A,N/A,N/A
616,yes,yes,yes,no
617,no,yes,no,no
618,N/A,N/A,N/A,N/A
619,yes,yes,no,yes
620,yes,no,yes,no
621,N/A,N/A,N/A,N/A
622,yes,yes,yes,yes
623,no,yes,no,yes
624,yes,yes,yes,yes
625,N/A,N/A,N/A,N/A
626,N/A,N/A,N/A,N/A
627,N/A,N/A,N/A,N/A
628,N/A,N/A,N/A,N/A
629,yes,yes,no,yes
630,yes,no,no,no
631,N/A,N/A,N/A,N/A
632,yes,yes,yes,yes
633,yes,yes,yes,no
634,no,yes,no,yes
635,yes,yes,yes,yes
636,no,yes,yes,no
637,no,yes,no,no
638,N/A,N/A,N/A,N/A
639,N/A,N/A,N/A,N/A
640,N/A,N/A,N/A,N/A
641,yes,yes,yes,no
642,no,yes,no,no
643,yes,yes,no,no
644,yes,yes,yes,yes
645,yes,yes,yes,yes
646,N/A,N/A,N/A,N/A
647,yes,yes,yes,no
648,N/A,N/A,N/A,N/A
649,no,no,no,no
650,yes,yes,yes,yes
651,N/A,N/A,N/A,N/A
652,yes,yes,yes,yes
653,yes,yes,no,yes
654,yes,yes,yes,yes
655,yes,yes,yes,yes
656,N/A,N/A,N/A,N/A
657,yes,yes,yes,yes
658,no,yes,yes,no
659,yes,yes,yes,yes
660,yes,yes,yes,yes
661,no,yes,yes,yes
662,yes,yes,yes,no
663,yes,no,no,yes
664,yes,yes,yes,no
665,N/A,N/A,N/A,N/A
666,yes,yes,yes,yes
667,yes,yes,yes,yes
668,N/A,N/A,N/A,N/A
669,N/A,N/A,N/A,N/A
670,yes,yes,yes,no
671,yes,yes,yes,no
672,yes,yes,yes,no
673,yes,yes,no,yes
674,N/A,N/A,N/A,N/A
675,yes,yes,no,yes
676,yes,yes,no,yes
677,yes,yes,yes,yes
678,yes,yes,no,no
679,yes,yes,yes,yes
680,N/A,N/A,N/A,N/A
681,N/A,N/A,N/A,N/A
682,yes,yes,yes,yes
683,yes,yes,yes,yes
684,N/A,N/A,N/A,N/A
685,yes,yes,yes,no
686,yes,yes,no,yes
687,N/A,N/A,N/A,N/A
688,N/A,N/A,N/A,N/A
689,yes,yes,yes,yes
690,no,yes,yes,no
691,yes,no,yes,no
692,no,no,no,no
693,yes,yes,yes,yes
694,yes,yes,yes,yes
695,N/A,N/A,N/A,N/A
696,N/A,N/A,N/A,N/A
697,yes,yes,yes,yes
698,yes,yes,no,no
699,no,yes,yes,no
700,N/A,N/A,N/A,N/A
701,N/A,N/A,N/A,N/A
702,N/A,N/A,N/A,N/A
703,yes,yes,yes,yes
704,yes,yes,yes,no
705,no,yes,yes,no
706,yes,yes,yes,no
707,yes,yes,yes,no
708,yes,yes,no,yes
709,yes,yes,yes,yes
710,yes,yes,yes,yes
711,yes,yes,no,yes
712,N/A,N/A,N/A,N/A
713,no,no,no,no
714,N/A,N/A,N/A,N/A
715,no,yes,yes,yes
716,yes,no,no,no
717,yes,N/A,N/A,N/A
