Directory Name,Approach the following question the way someone in preschool would.json,Approach the following question the way someone in elementary school would.json,Approach the following question the way someone in high school would.json,Approach the following question the way someone with a PhD in mathematics would.json
1193,no,no,yes,no
1194,yes,yes,yes,yes
1196,no,yes,no,yes
1201,no,no,no,no
1202,no,yes,yes,yes
1205,no,yes,yes,yes
1211,yes,no,no,no
1218,no,yes,no,no
1223,no,yes,no,no
1244,yes,no,yes,yes
1267,yes,yes,no,yes
1300,no,yes,no,yes
1301,yes,no,yes,no
1305,no,yes,no,yes
1308,no,yes,yes,no
1322,no,yes,yes,yes
1324,no,no,yes,yes
1325,no,no,no,yes
1328,no,no,yes,yes
1334,yes,no,no,no
1336,no,yes,no,yes
1346,no,no,yes,yes
1348,yes,yes,yes,yes
1382,no,no,no,no
1399,yes,yes,yes,yes
1409,no,no,yes,yes
1417,no,no,yes,no
1421,no,no,yes,no
1427,yes,yes,yes,yes
1432,no,no,yes,yes
1433,yes,no,no,yes
1446,yes,no,no,yes
1472,no,no,yes,yes
1484,no,no,no,no
1499,no,no,yes,yes
1501,yes,yes,no,yes
1504,no,no,no,yes
1508,yes,no,no,yes
1509,no,no,yes,no
1510,no,yes,yes,no
1518,no,yes,yes,yes
1521,yes,yes,yes,yes
1532,no,yes,yes,yes
1542,yes,yes,yes,yes
1556,yes,yes,yes,yes
1565,yes,yes,yes,yes
1567,yes,yes,yes,yes
1572,no,no,no,no
1595,yes,yes,yes,yes
1608,yes,yes,yes,no
1612,no,no,yes,no
1619,yes,yes,yes,yes
1626,yes,yes,no,yes
1635,no,no,no,no
1644,no,no,yes,yes
1649,no,yes,yes,yes
1652,no,yes,yes,no
1653,no,yes,yes,no
1661,no,yes,yes,yes
1676,no,no,no,no
1677,no,yes,yes,no
1679,yes,yes,yes,no
1694,no,yes,no,yes
1708,no,yes,yes,yes
1710,yes,yes,yes,yes
1711,no,yes,yes,yes
1712,no,no,yes,no
1716,yes,yes,yes,yes
1721,no,yes,yes,yes
1723,no,no,yes,yes
1734,yes,no,no,yes
1752,no,yes,yes,yes
1754,yes,yes,yes,no
1775,no,no,no,yes
1797,yes,yes,yes,yes
1799,yes,yes,no,yes
1802,yes,yes,yes,yes
1821,yes,yes,no,yes
1825,no,no,yes,yes
1827,no,no,no,yes
1832,yes,yes,yes,yes
1854,no,no,no,no
1868,no,no,yes,yes
1871,yes,yes,yes,no
1887,yes,no,no,no
1901,yes,yes,yes,yes
1903,yes,no,no,yes
1913,no,no,yes,yes
1930,no,no,no,yes
1944,yes,yes,yes,no
1965,no,no,yes,no
1966,yes,yes,yes,yes
1979,yes,yes,yes,yes
1980,yes,yes,yes,yes
1987,yes,yes,yes,no
1992,no,no,yes,yes
1998,no,yes,no,no
2005,no,no,no,yes
2027,yes,yes,yes,yes
2029,yes,yes,yes,yes
2037,yes,yes,no,yes
2053,no,yes,yes,no
2054,no,yes,no,yes
2079,yes,yes,yes,yes
2087,no,yes,yes,yes
2089,no,yes,yes,yes
2093,yes,yes,yes,no
2095,yes,no,yes,yes
2096,no,yes,no,no
2103,yes,yes,yes,yes
2110,no,yes,yes,yes
2114,no,no,yes,yes
2115,yes,yes,yes,yes
2121,yes,yes,no,yes
2125,no,no,no,no
2129,yes,yes,no,yes
2136,no,no,no,no
2138,yes,no,yes,yes
2162,yes,yes,yes,yes
2170,yes,yes,yes,yes
2172,no,no,no,yes
2174,no,no,no,no
2190,yes,yes,yes,yes
2206,no,yes,yes,yes
2224,no,yes,no,yes
2249,no,no,yes,yes
2258,no,yes,yes,yes
2262,no,yes,no,yes
2272,no,no,no,yes
2280,yes,no,yes,yes
2299,yes,no,no,no
2302,no,no,no,yes
2314,yes,no,yes,yes
2319,yes,no,yes,yes
2337,no,yes,yes,no
2346,no,no,yes,yes
2364,no,yes,yes,yes
2369,yes,no,yes,yes
2371,yes,no,yes,yes
2386,yes,no,yes,no
2390,no,no,yes,yes
2396,no,yes,yes,yes
2401,yes,no,no,no
2402,no,yes,yes,no
2408,no,yes,yes,yes
2410,no,no,no,no
2419,no,yes,yes,yes
2425,no,no,no,yes
2428,yes,yes,yes,yes
2429,yes,no,yes,yes
2439,yes,yes,yes,yes
2441,yes,yes,yes,yes
2442,yes,yes,yes,yes
2444,yes,yes,yes,yes
2460,no,yes,no,no
2462,yes,no,yes,yes
2474,no,yes,yes,yes
2485,yes,yes,yes,yes
2488,no,no,yes,no
2509,yes,no,yes,yes
2523,no,no,no,no
2529,yes,yes,yes,yes
2532,no,no,no,no
2535,no,no,no,no
2537,no,no,no,no
2547,no,no,no,no
2561,yes,yes,yes,yes
2562,no,no,yes,no
2569,yes,yes,yes,yes
2599,no,no,no,no
2609,no,no,yes,yes
2635,no,yes,yes,yes
2648,no,yes,yes,no
2652,no,no,no,no
2656,no,yes,yes,yes
2660,no,yes,yes,yes
2665,yes,no,no,no
2676,yes,yes,yes,yes
2709,yes,yes,yes,yes
2717,no,yes,no,no
2721,no,yes,yes,yes
2739,yes,yes,no,yes
2746,no,yes,yes,yes
2754,no,no,no,yes
2761,no,no,yes,no
2763,no,no,no,no
2765,no,no,no,no
2769,no,yes,yes,yes
2774,no,yes,yes,yes
2786,yes,yes,yes,yes
2797,no,yes,yes,yes
2799,yes,yes,yes,no
2808,no,no,yes,no
2819,no,no,no,no
2820,no,yes,yes,yes
2821,no,no,no,no
2826,no,yes,no,yes
2828,yes,yes,yes,yes
2829,yes,yes,no,yes
2830,no,no,no,yes
23993,no,no,yes,yes
24014,N/A,N/A,N/A,N/A
24061,yes,yes,no,yes
24673,yes,yes,no,yes
24677,no,yes,yes,no
24771,yes,yes,yes,yes
24858,no,yes,yes,yes
24888,no,yes,yes,yes
24917,yes,no,yes,yes
24958,yes,yes,no,no
24973,no,no,yes,yes
25020,no,no,yes,yes
25040,N/A,N/A,N/A,N/A
25098,yes,no,yes,yes
25249,no,no,no,no
25448,no,no,no,yes
